,venture,price,Emi,marketed,location,no_beds,possession_date,Avg
400,NA,₹2.0 Cr,EMI starts at ₹99.29 K,NA,Thirumala Tranquil Towers,NA,3099 sq.ft,Build Up Area3099 sq.ftAvg. Price₹6.45 K/sq.ft
401,NA,₹3.9 Cr,EMI starts at ₹1.94 Lacs,NA,Shanta Studio Sycamore,NA,3556 sq.ft,Build Up Area3556 sq.ftAvg. Price₹10.97 K/sq.ft
402,NA,₹52.0 L,EMI starts at ₹27.54 K,NA,"Sri Venkateswara Residency anjaneya nagar moosapet,Moosapet, Hyderabad",NA,1315 sq.ft,Build Up Area1315 sq.ftAvg. Price₹3.95 K/sq.ft
403,NA,₹80.0 L,EMI starts at ₹39.72 K,NA,"9 Star Hills Sree Shrikara,Manikonda, Hyderabad",NA,1250 sq.ft,Build Up Area1250 sq.ftAvg. Price₹6.40 K/sq.ft
404,NA,₹40.0 L,EMI starts at ₹21.18 K,NA,"Sadasivpet, Hyderabad",NA,726 sq.yd,Plot Area726 sq.ydAvg. Price₹5.51 K/sq.yd
405,NA,₹1.4 Cr,EMI starts at ₹69.50 K,NA,Manbhum Millennium Residency,NA,1650 sq.ft,Build Up Area1650 sq.ftAvg. Price₹8.48 K/sq.ft
406,NA,₹46.2 L,EMI starts at ₹24.47 K,NA,Asrithas 14th Avenue,NA,165 sq.yd,Plot Area165 sq.ydAvg. Price₹28.00 K/sq.yd
407,NA,₹33.0 L,EMI starts at ₹17.48 K,NA,"Creek Side by Urban Prime,Mominpet, Hyderabad",NA,600 sq.yd,Plot Area600 sq.ydAvg. Price₹5.50 K/sq.yd
408,NA,₹98.0 L,EMI starts at ₹48.65 K,NA,"RR HEIGHTS Ameerpet ,Ameerpet, Hyderabad",NA,1530 sq.ft,Build Up Area1530 sq.ftAvg. Price₹6.41 K/sq.ft
409,NA,₹22.0 L,EMI starts at ₹11.65 K,NA,"Bibinagar, Hyderabad",NA,200 sq.yd,Plot Area200 sq.ydAvg. Price₹11.00 K/sq.yd
410,NA,₹1.15 Cr,EMI starts at ₹57.09 K,NA,"Sathyanarayanapuram, Nagaram,Hyderabad",NA,1200 sq.ft,Build Up Area1200 sq.ftAvg. Price₹9.58 K/sq.ft
411,NA,₹35.0 L,EMI starts at ₹18.53 K,NA,"Ghatkesar, Hyderabad",NA,200 sq.yd,Plot Area200 sq.ydAvg. Price₹17.50 K/sq.yd
412,NA,₹16.0 L,EMI starts at ₹8.47 K,NA,"Yacharam, Hyderabad",NA,200 sq.ft,Plot Area200 sq.ftAvg. Price₹8.00 K/sq.ft
413,NA,₹74.0 L,EMI starts at ₹39.19 K,NA,Trident Grande,NA,1449 sq.ft,Build Up Area1449 sq.ftAvg. Price₹5.11 K/sq.ft
414,NA,₹1.5 Cr,EMI starts at ₹74.47 K,NA,"Gayatri Nagar, Jillelguda,Hyderabad",NA,1280 sq.ft,Build Up Area1280 sq.ftAvg. Price₹11.72 K/sq.ft
415,NA,₹5.5 Cr,EMI starts at ₹2.73 Lacs,NA,My Home Bhooja,NA,4070 sq.ft,Build Up Area4070 sq.ftAvg. Price₹13.51 K/sq.ft
416,NA,₹20.0 L,EMI starts at ₹10.59 K,NA,"Ibrahimpatnam, Hyderabad",NA,400 sq.ft,Plot Area400 sq.ftAvg. Price₹5.00 K/sq.ft
417,NA,₹36.0 L,EMI starts at ₹19.06 K,NA,"Sai keshetra,Maheshwaram, Hyderabad",NA,2160 sq.ft,Plot Area2160 sq.ftAvg. Price₹1.67 K/sq.ft
418,NA,₹38.0 L,EMI starts at ₹20.12 K,NA,"Pasumamula, Hyderabad",NA,900 sq.ft,Plot Area900 sq.ftAvg. Price₹4.22 K/sq.ft
419,NA,₹47.73 L,EMI starts at ₹25.28 K,NA,"Sumukesh ,Boduppal, Hyderabad",NA,1110 sq.ft,Build Up Area1110 sq.ftAvg. Price₹4.30 K/sq.ft
420,NA,₹1.27 Cr,EMI starts at ₹63.05 K,NA,"Shankarpally, Hyderabad",NA,2800 sq.ft,Build Up Area2800 sq.ftAvg. Price₹4.54 K/sq.ft
421,NA,₹63.74 L,EMI starts at ₹33.75 K,NA,"Siri home ameenpur,Aminpur, Hyderabad",NA,1275 sq.ft,Build Up Area1275 sq.ftAvg. Price₹5.00 K/sq.ft
422,NA,₹9.0 L,EMI starts at ₹4.77 K,NA,"fortune smart city Doodi Venkatapuram,Bhuvanagiri, Hyderabad",NA,150 sq.yd,Plot Area150 sq.ydAvg. Price₹6.00 K/sq.yd
423,NA,₹36.0 L,EMI starts at ₹19.06 K,NA,"Adibatla, Hyderabad",NA,1600 sq.ft,Plot Area1600 sq.ftAvg. Price₹2.25 K/sq.ft
424,NA,₹1.0 Cr,EMI starts at ₹49.65 K,NA,Jain Carlton Creek by Jain Housing & Constructions Ltd,NA,1380 sq.ft,Build Up Area1380 sq.ftAvg. Price₹7.25 K/sq.ft
425,NA,₹60.0 L,EMI starts at ₹31.77 K,NA,Trust Tower 2 Residency,NA,1460 sq.ft,Build Up Area1460 sq.ftAvg. Price₹4.11 K/sq.ft
426,NA,₹1.81 Cr,EMI starts at ₹89.86 K,NA,"Pine crest villa,Ghanpur, Hyderabad",NA,3284 sq.ft,Build Up Area3284 sq.ftAvg. Price₹5.51 K/sq.ft
427,NA,₹32.0 L,EMI starts at ₹16.95 K,NA,"Surangal, Hyderabad",NA,3240 sq.ft,Plot Area3240 sq.ftAvg. Price₹987/sq.ft
428,NA,₹34.0 L,EMI starts at ₹18.00 K,NA,Bhashyam RRR County,NA,1100 sq.yd,Plot Area1100 sq.ydAvg. Price₹3.09 K/sq.yd
429,NA,₹30.3 L,EMI starts at ₹16.05 K,NA,Subhagruha Sukrithi Subhaga,NA,1818 sq.ft,Plot Area1818 sq.ftAvg. Price₹1.67 K/sq.ft
430,NA,₹75.0 L,EMI starts at ₹39.72 K,NA,"Sangareddy, Hyderabad",NA,1500 sq.ft,Build Up Area1500 sq.ftAvg. Price₹5.00 K/sq.ft
431,NA,₹2.0 Cr,EMI starts at ₹99.29 K,NA,Creative Koven Udaya Cresent,NA,2265 sq.ft,Build Up Area2265 sq.ftAvg. Price₹8.83 K/sq.ft
432,NA,₹65.0 L,EMI starts at ₹34.42 K,NA,Vasathi Anandi by Vasathi Housing Ltd,NA,1030 sq.ft,Build Up Area1030 sq.ftAvg. Price₹6.31 K/sq.ft
433,NA,₹85.0 L,EMI starts at ₹42.20 K,NA,"krishanas bheem,Bandlaguda, Nagole,Hyderabad",NA,1600 sq.ft,Build Up Area1600 sq.ftAvg. Price₹5.31 K/sq.ft
434,NA,₹75.0 L,EMI starts at ₹39.72 K,NA,"Heritage Harmony Apartments Alkapoor Township Neknampur Manikonda,Neknampur, Hyderabad",NA,1548 sq.ft,Build Up Area1548 sq.ftAvg. Price₹4.84 K/sq.ft
435,NA,₹2.2 Cr,EMI starts at ₹1.09 Lacs,NA,"Shankarpally, Hyderabad",NA,4840 sq.yd,Plot Area4840 sq.ydAvg. Price₹4.54 K/sq.yd
436,NA,₹13.0 L,EMI starts at ₹6.88 K,NA,"smphony township,Yadagirigutta, Hyderabad",NA,200 sq.yd,Plot Area200 sq.ydAvg. Price₹6.50 K/sq.yd
437,NA,₹1.15 Cr,EMI starts at ₹57.09 K,NA,"Basuragadi Village, Hyderabad",NA,2800 sq.ft,Build Up Area2800 sq.ftAvg. Price₹4.11 K/sq.ft
438,NA,₹12.5 L,EMI starts at ₹6.62 K,NA,"Yadagirigutta, Hyderabad",NA,1000 sq.yd,Plot Area1000 sq.ydAvg. Price₹1.25 K/sq.yd
439,NA,₹13.23 L,EMI starts at ₹7.01 K,NA,Skandhanshi Aarambh,NA,1320 sq.ft,Plot Area1320 sq.ftAvg. Price₹1.00 K/sq.ft
440,NA,₹90.0 L,EMI starts at ₹44.68 K,NA,"Vishaka Nagar,Prashanthi Hills, Almasguda,Hyderabad",NA,2700 sq.ft,Plot Area2700 sq.ftAvg. Price₹3.33 K/sq.ft
441,NA,₹19.5 L,EMI starts at ₹10.33 K,NA,"Bibinagar, Hyderabad",NA,150 sq.yd,Plot Area150 sq.ydAvg. Price₹13.00 K/sq.yd
442,NA,₹64.0 L,EMI starts at ₹33.89 K,NA,"Kothur, Hyderabad",NA,3600 sq.ft,Plot Area3600 sq.ftAvg. Price₹1.78 K/sq.ft
443,NA,₹24.0 L,EMI starts at ₹12.71 K,NA,"King Koti, Hyderguda,Hyderabad",NA,200 sq.yd,Plot Area200 sq.ydAvg. Price₹12.00 K/sq.yd
444,NA,₹78.0 L,EMI starts at ₹38.72 K,NA,"Sir laxmi pressna,Cheeriyal, Chiryala Village,Hyderabad",NA,1200 sq.ft,Build Up Area1200 sq.ftAvg. Price₹6.50 K/sq.ft
445,NA,₹38.0 L,EMI starts at ₹20.12 K,NA,Sumeethrra Sri Sai Vinayaka,NA,1485 sq.yd,Plot Area1485 sq.ydAvg. Price₹2.56 K/sq.yd
446,NA,₹44.0 L,EMI starts at ₹23.30 K,NA,"SVS Magnifique,Narapally, Hyderabad",NA,1210 sq.ft,Build Up Area1210 sq.ftAvg. Price₹3.64 K/sq.ft
447,NA,₹2.0 Cr,EMI starts at ₹99.29 K,NA,Sri Sai Nilayam,NA,2599 sq.ft,Build Up Area2599 sq.ftAvg. Price₹7.70 K/sq.ft
448,NA,₹12.4 L,EMI starts at ₹6.57 K,NA,Sri Abhisha Sri Dhatri,NA,1485 sq.ft,Plot Area1485 sq.ftAvg. Price₹835/sq.ft
449,NA,₹70.0 L,EMI starts at ₹37.07 K,NA,"Moinabad, Hyderabad",NA,5400 sq.ft,Plot Area5400 sq.ftAvg. Price₹1.30 K/sq.ft
450,NA,₹62.0 L,EMI starts at ₹32.83 K,NA,"Srinivasa By Amul,Gandi Maisamma, Hyderabad",NA,1500 sq.ft,Build Up Area1500 sq.ftAvg. Price₹4.13 K/sq.ft
451,NA,₹37.0 L,EMI starts at ₹19.59 K,NA,"Ira orchid,New Town Colony, Isnapur,Hyderabad",NA,1000 sq.ft,Build Up Area1000 sq.ftAvg. Price₹3.70 K/sq.ft
452,NA,₹1.8 Cr,EMI starts at ₹89.36 K,NA,"Owner,Shastri Puram, Nawab Saheb Kunta,Hyderabad",NA,1000 sq.ft,Build Up Area1000 sq.ftAvg. Price₹18.00 K/sq.ft
453,NA,₹58.0 L,EMI starts at ₹30.71 K,NA,"Privilege estates,Chengicherla, Hyderabad",NA,1275 sq.ft,Build Up Area1275 sq.ftAvg. Price₹4.55 K/sq.ft
454,NA,₹84.0 L,EMI starts at ₹41.70 K,NA,"Vintage Heights,HUDA Techno Enclave, Hitech City,Hyderabad",NA,1200 sq.ft,Build Up Area1200 sq.ftAvg. Price₹7.00 K/sq.ft
455,NA,₹90.0 L,EMI starts at ₹44.68 K,NA,"Medchal, Hyderabad",NA,1800 sq.yd,Plot Area1800 sq.ydAvg. Price₹5.00 K/sq.yd
456,NA,₹48.0 L,EMI starts at ₹25.42 K,NA,"Ananya Arcade,Injapur, Neeladri Nagar,Hyderabad",NA,1287 sq.ft,Build Up Area1287 sq.ftAvg. Price₹3.73 K/sq.ft
457,NA,₹1.35 Cr,EMI starts at ₹67.02 K,NA,"Gandhamguda, Bairagiguda,Hyderabad",NA,2000 sq.ft,Build Up Area2000 sq.ftAvg. Price₹6.75 K/sq.ft
458,NA,₹2.0 L,EMI starts at ₹1.06 K,NA,"Sangareddy, Hyderabad",NA,303 sq.yd,Plot Area303 sq.ydAvg. Price₹660/sq.yd
459,NA,₹65.75 L,EMI starts at ₹34.82 K,NA,"Pocharam, Hyderabad",NA,265 sq.yd,Plot Area265 sq.ydAvg. Price₹24.81 K/sq.yd
460,NA,₹71.68 L,EMI starts at ₹37.96 K,NA,Ark Hema,NA,1280 sq.ft,Build Up Area1280 sq.ftAvg. Price₹5.60 K/sq.ft
461,NA,₹1.25 Cr,EMI starts at ₹62.06 K,NA,SMR Vinay Iconia Phase 2,NA,1535 sq.ft,Build Up Area1535 sq.ftAvg. Price₹8.14 K/sq.ft
462,NA,₹24.0 L,EMI starts at ₹12.71 K,NA,"Bhanoor Gated Community Project,Bhanur, Hyderabad",NA,1150 sq.ft,Build Up Area1150 sq.ftAvg. Price₹2.09 K/sq.ft
463,NA,₹1.6 Cr,EMI starts at ₹79.43 K,NA,Saket Bhusatva,NA,1800 sq.ft,Build Up Area1800 sq.ftAvg. Price₹8.89 K/sq.ft
464,NA,₹1.3 Cr,EMI starts at ₹64.54 K,NA,"Dukkipaati enclave,Film Nagar, Jubilee Hills,Hyderabad",NA,1215 sq.ft,Build Up Area1215 sq.ftAvg. Price₹10.70 K/sq.ft
465,NA,₹56.0 L,EMI starts at ₹29.66 K,NA,"Industrial Development Area, Nacharam,Hyderabad",NA,1253 sq.ft,Build Up Area1253 sq.ftAvg. Price₹4.47 K/sq.ft
466,NA,₹1.7 Cr,EMI starts at ₹84.40 K,NA,Hallmark Tranquil,NA,1986 sq.ft,Build Up Area1986 sq.ftAvg. Price₹8.56 K/sq.ft
467,NA,₹55.0 L,EMI starts at ₹29.13 K,NA,"Royal palace ,Alluri Seetaramaraju Nagar, Hyder Nagar,Hyderabad",NA,1050 sq.ft,Build Up Area1050 sq.ftAvg. Price₹5.24 K/sq.ft
468,NA,₹1.44 Cr,EMI starts at ₹71.49 K,NA,"Oorjitha Hill View,Anthaipally, Hyderabad",NA,795 sq.yd,Plot Area795 sq.ydAvg. Price₹18.11 K/sq.yd
469,NA,₹99.0 L,EMI starts at ₹49.15 K,NA,"Shankarpally, Hyderabad",NA,900 sq.yd,Plot Area900 sq.ydAvg. Price₹11.00 K/sq.yd
470,NA,₹2.95 Cr,EMI starts at ₹1.46 Lacs,NA,"Gouri Shankar Nagar Colony, Banjara Hills,Hyderabad",NA,2395 sq.ft,Build Up Area2395 sq.ftAvg. Price₹12.32 K/sq.ft
471,NA,₹82.0 L,EMI starts at ₹40.71 K,NA,Apartment at Prakruthi Construction,NA,1614 sq.ft,Build Up Area1614 sq.ftAvg. Price₹5.08 K/sq.ft
472,NA,₹4.4 Cr,EMI starts at ₹2.18 Lacs,NA,"KANIKAPERMESHWARI TEMPLE,Telangana NGOS Colony, Katedan Industrial Area,Hyderabad",NA,12500 sq.ft,Build Up Area12500 sq.ftAvg. Price₹3.52 K/sq.ft
473,NA,₹2.5 Cr,EMI starts at ₹1.24 Lacs,NA,"Langar House,Langar House South, Bapu nagar,Hyderabad",NA,5000 sq.ft,Build Up Area5000 sq.ftAvg. Price₹5.00 K/sq.ft
474,NA,₹25.0 L,EMI starts at ₹13.24 K,NA,"Bharati enclaves,Bhanur, Hyderabad",NA,1200 sq.ft,Build Up Area1200 sq.ftAvg. Price₹2.08 K/sq.ft
475,NA,₹49.5 L,EMI starts at ₹26.21 K,NA,"Yadagirigutta, Hyderabad",NA,2700 sq.ft,Plot Area2700 sq.ftAvg. Price₹1.83 K/sq.ft
476,NA,₹20.0 L,EMI starts at ₹10.59 K,NA,"Kadthal, Hyderabad",NA,1801 sq.ft,Plot Area1801 sq.ftAvg. Price₹1.11 K/sq.ft
477,NA,₹1.25 Cr,EMI starts at ₹62.06 K,NA,"Adibatla, Hyderabad",NA,2500 sq.ft,Build Up Area2500 sq.ftAvg. Price₹5.00 K/sq.ft
478,NA,₹42.5 L,EMI starts at ₹22.51 K,NA,"Medchal, Hyderabad",NA,1500 sq.ft,Plot Area1500 sq.ftAvg. Price₹2.83 K/sq.ft
479,NA,₹1.1 Cr,EMI starts at ₹54.61 K,NA,"Chengicherla, Hyderabad",NA,1701 sq.ft,Build Up Area1701 sq.ftAvg. Price₹6.47 K/sq.ft
480,NA,₹3.33 Cr,EMI starts at ₹1.65 Lacs,NA,Phoenix Golf Edge,NA,3625 sq.ft,Build Up Area3625 sq.ftAvg. Price₹9.19 K/sq.ft
481,NA,₹55.0 L,EMI starts at ₹29.13 K,NA," BRS Subha Nilayam,ALEAP Industrial Area, Gajularamaram,Hyderabad",NA,1125 sq.ft,Build Up Area1125 sq.ftAvg. Price₹4.89 K/sq.ft
482,NA,₹4.2 Cr,EMI starts at ₹2.09 Lacs,NA,"Vinayak Nagar, Hayathnagar,Hyderabad",NA,10000 sq.ft,Build Up Area10000 sq.ftAvg. Price₹4.20 K/sq.ft
483,NA,₹28.0 L,EMI starts at ₹14.83 K,NA,"Bhanur Gated Community Project,Bhanur, Hyderabad",NA,1150 sq.ft,Build Up Area1150 sq.ftAvg. Price₹2.43 K/sq.ft
484,NA,₹28.0 L,EMI starts at ₹14.83 K,NA,"Sukrathi Subhaga,Nandikandi, Hyderabad",NA,200 sq.yd,Plot Area200 sq.ydAvg. Price₹14.00 K/sq.yd
485,NA,₹80.0 L,EMI starts at ₹39.72 K,NA,Sterling Heights,NA,1566 sq.ft,Build Up Area1566 sq.ftAvg. Price₹5.11 K/sq.ft
486,NA,₹11.0 L,EMI starts at ₹5.83 K,NA,"Av Infracon,Yadagirigutta, Hyderabad",NA,650 sq.ft,Build Up Area650 sq.ftAvg. Price₹1.69 K/sq.ft
487,NA,₹54.5 L,EMI starts at ₹28.86 K,NA,"VNR GATED COMMUNITY ,Mahadevpur Colony, Hyderabad",NA,1125 sq.ft,Build Up Area1125 sq.ftAvg. Price₹4.84 K/sq.ft
488,NA,₹1.6 Cr,EMI starts at ₹79.43 K,NA,"Phool Bagh, Baba Nagar,Hyderabad",NA,150 sq.ft,Build Up Area150 sq.ftAvg. Price₹1.07 Lacs/sq.ft
489,NA,₹24.4 L,EMI starts at ₹12.92 K,NA,Vikhyath Haritha Vanam Phase I,NA,1670 sq.yd,Plot Area1670 sq.ydAvg. Price₹1.46 K/sq.yd
490,NA,₹18.0 L,EMI starts at ₹9.53 K,NA,"Dubbacherla, Hyderabad",NA,1800 sq.ft,Plot Area1800 sq.ftAvg. Price₹1.00 K/sq.ft
491,NA,₹65.0 L,EMI starts at ₹34.42 K,NA,SVR Estates SVRS Arunachala,NA,1362 sq.ft,Build Up Area1362 sq.ftAvg. Price₹4.77 K/sq.ft
492,NA,₹5.0 Cr,EMI starts at ₹2.48 Lacs,NA,"Sham Nagar Colony, Chinthal Basthi,Hyderabad",NA,436 sq.ft,Build Up Area436 sq.ftAvg. Price₹1.15 Lacs/sq.ft
493,NA,₹26.0 L,EMI starts at ₹13.77 K,NA,NCS Fortune Medi City,NA,1800 sq.ft,Plot Area1800 sq.ftAvg. Price₹1.44 K/sq.ft
494,NA,₹1.1 Cr,EMI starts at ₹54.61 K,NA,"Sangareddy, Hyderabad",NA,2700 sq.ft,Build Up Area2700 sq.ftAvg. Price₹4.07 K/sq.ft
495,NA,₹18.59 L,EMI starts at ₹9.84 K,NA,"Shankarpally, Hyderabad",NA,1287 sq.ft,Plot Area1287 sq.ftAvg. Price₹1.44 K/sq.ft
496,NA,₹50.0 L,EMI starts at ₹26.48 K,NA,"Vikaspuri, Erragadda,Hyderabad",NA,1110 sq.ft,Build Up Area1110 sq.ftAvg. Price₹4.50 K/sq.ft
497,NA,₹2.5 Cr,EMI starts at ₹1.24 Lacs,NA,"Saket, Sainikpuri,Hyderabad",NA,4000 sq.ft,Build Up Area4000 sq.ftAvg. Price₹6.25 K/sq.ft
498,NA,₹2.05 Cr,EMI starts at ₹1.02 Lacs,NA,"Rampally, Hyderabad",NA,5600 sq.ft,Build Up Area5600 sq.ftAvg. Price₹3.66 K/sq.ft
499,NA,₹91.0 L,EMI starts at ₹45.18 K,NA,"Redhills, Lakdikapul,Hyderabad",NA,1580 sq.ft,Build Up Area1580 sq.ftAvg. Price₹5.76 K/sq.ft
500,NA,₹6.78 L,EMI starts at ₹3.59 K,NA,"Lepakshi greens ,Yadagirigutta, Hyderabad",NA,2178 sq.ft,Plot Area2178 sq.ftAvg. Price₹311/sq.ft
501,NA,₹3.0 L,EMI starts at ₹1.59 K,NA,"Vandana Gardens,Sangareddy, Hyderabad",NA,605 sq.yd,Plot Area605 sq.ydAvg. Price₹495/sq.yd
502,NA,₹9.0 L,EMI starts at ₹4.77 K,NA,"EAGLE INFRA OPEN FARMS,Kothur, Hyderabad",NA,150 sq.yd,Plot Area150 sq.ydAvg. Price₹6.00 K/sq.yd
503,NA,₹1.28 Cr,EMI starts at ₹63.30 K,NA,SNR The Elite,NA,1690 sq.ft,Build Up Area1690 sq.ftAvg. Price₹7.54 K/sq.ft
504,NA,₹35.0 L,EMI starts at ₹18.53 K,NA,"deluxe flat,Snehapuri Colony, LB Nagar,Hyderabad",NA,800 sq.ft,Build Up Area800 sq.ftAvg. Price₹4.38 K/sq.ft
505,NA,₹1.15 Cr,EMI starts at ₹57.09 K,NA,DD Colony,NA,1500 sq.ft,Build Up Area1500 sq.ftAvg. Price₹7.67 K/sq.ft
506,NA,₹46.5 L,EMI starts at ₹24.62 K,NA,"Tukkuguda, Hyderabad",NA,300 sq.yd,Plot Area300 sq.ydAvg. Price₹15.50 K/sq.yd
507,NA,₹1.1 Cr,EMI starts at ₹54.61 K,NA,"Kondakal, Hyderabad",NA,2600 sq.ft,Build Up Area2600 sq.ftAvg. Price₹4.23 K/sq.ft
508,NA,₹98.2 L,EMI starts at ₹48.75 K,NA,"Pristine Alpine,Police Colony, Kondapur,Hyderabad",NA,1638 sq.ft,Build Up Area1638 sq.ftAvg. Price₹6.00 K/sq.ft
509,NA,₹57.76 L,EMI starts at ₹30.59 K,NA,"NLC ADITA,Aminpur, Hyderabad",NA,1120 sq.ft,Build Up Area1120 sq.ftAvg. Price₹5.16 K/sq.ft
510,NA,₹1.91 Cr,EMI starts at ₹95.02 K,NA,"The classe,Kokapet, Hyderabad",NA,2552 sq.ft,Build Up Area2552 sq.ftAvg. Price₹7.50 K/sq.ft
511,NA,₹18.0 L,EMI starts at ₹9.53 K,NA,"Kadthal, Hyderabad",NA,1350 sq.ft,Plot Area1350 sq.ftAvg. Price₹1.33 K/sq.ft
512,NA,₹1.0 Cr,EMI starts at ₹49.84 K,NA,"Aditya developers,Indresham, Hyderabad",NA,2008 sq.ft,Build Up Area2008 sq.ftAvg. Price₹5.00 K/sq.ft
513,NA,₹25.0 L,EMI starts at ₹13.24 K,NA,Sri Jagatswapna Sparkle Adobe,NA,200 sq.yd,Plot Area200 sq.ydAvg. Price₹12.50 K/sq.yd
514,NA,₹1.1 Cr,EMI starts at ₹54.61 K,NA,"Ayyappa Real Estate and Rental s,Himayath Nagar, Hyderabad",NA,1500 sq.ft,Build Up Area1500 sq.ftAvg. Price₹7.33 K/sq.ft
515,NA,₹65.0 L,EMI starts at ₹34.42 K,NA,Urbanrise Codename Central Park,NA,1254 sq.ft,Build Up Area1254 sq.ftAvg. Price₹5.18 K/sq.ft
516,NA,₹15.0 L,EMI starts at ₹7.94 K,NA,Fortune Butterfly City,NA,2700 sq.ft,Plot Area2700 sq.ftAvg. Price₹555/sq.ft
517,NA,₹19.49 L,EMI starts at ₹10.32 K,NA,"GKR PROJECT,Ghatkesar, Hyderabad",NA,1350 sq.ft,Plot Area1350 sq.ftAvg. Price₹1.44 K/sq.ft
518,NA,₹42.0 L,EMI starts at ₹22.24 K,NA,"Ayyappa society ,Mega Hills, Madhapur,Hyderabad",NA,1050 sq.ft,Build Up Area1050 sq.ftAvg. Price₹4.00 K/sq.ft
519,NA,₹87.0 L,EMI starts at ₹43.19 K,NA,"Luxurious villas,Patancheru, Hyderabad",NA,2400 sq.ft,Build Up Area2400 sq.ftAvg. Price₹3.63 K/sq.ft
520,NA,₹5.4 Cr,EMI starts at ₹2.68 Lacs,NA,Hill County Villa,NA,2787 sq.ft,Build Up Area2787 sq.ftAvg. Price₹19.38 K/sq.ft
521,NA,₹34.0 L,EMI starts at ₹18.00 K,NA,"Silver oak,Hema Nagar, Boduppal,Hyderabad",NA,1215 sq.ft,Build Up Area1215 sq.ftAvg. Price₹2.80 K/sq.ft
522,NA,₹1.3 Cr,EMI starts at ₹64.54 K,NA,"Kistareddypet, Hyderabad",NA,2500 sq.ft,Build Up Area2500 sq.ftAvg. Price₹5.20 K/sq.ft
523,NA,₹44.0 L,EMI starts at ₹23.30 K,NA,"JAYAS HILTON,Annapurna Enclave, Chandanagar,Hyderabad",NA,1090 sq.ft,Build Up Area1090 sq.ftAvg. Price₹4.04 K/sq.ft
524,NA,₹2.52 Cr,EMI starts at ₹1.25 Lacs,NA,NCC Urban One,NA,3380 sq.ft,Build Up Area3380 sq.ftAvg. Price₹7.46 K/sq.ft
525,NA,₹1.79 Cr,EMI starts at ₹88.99 K,NA,"Pryde,Gachibowli, Hyderabad",NA,2390 sq.ft,Build Up Area2390 sq.ftAvg. Price₹7.50 K/sq.ft
526,NA,₹5.85 Cr,EMI starts at ₹2.90 Lacs,NA,"Brindavan Colony, Habsiguda,Hyderabad",NA,650 sq.yd,Plot Area650 sq.ydAvg. Price₹90.00 K/sq.yd
527,NA,₹1.09 Cr,EMI starts at ₹54.11 K,NA,"Fountain park ,Lingampally, Serilingampally,Hyderabad",NA,1823 sq.ft,Build Up Area1823 sq.ftAvg. Price₹5.98 K/sq.ft
528,NA,₹1.4 Cr,EMI starts at ₹69.50 K,NA,"Puppalaguda, Hyderabad",NA,3000 sq.ft,Build Up Area3000 sq.ftAvg. Price₹4.67 K/sq.ft
529,NA,₹70.0 L,EMI starts at ₹37.07 K,NA,"Talking Bricks,Alkapur Township, Puppalaguda,Hyderabad",NA,1160 sq.ft,Build Up Area1160 sq.ftAvg. Price₹6.03 K/sq.ft
530,NA,₹25.0 L,EMI starts at ₹13.24 K,NA,"Malkapur, Hyderabad",NA,200 sq.yd,Plot Area200 sq.ydAvg. Price₹12.50 K/sq.yd
531,NA,₹13.0 Cr,EMI starts at ₹6.45 Lacs,NA,"Banjara hills rd 12 450 sqrd,Venkateswara Colony, Banjara Hills,Hyderabad",NA,6000 sq.ft,Build Up Area6000 sq.ftAvg. Price₹21.67 K/sq.ft
532,NA,₹55.0 L,EMI starts at ₹29.13 K,NA,"Bhuvanteza aura Kollur velimala ORR Exit 2,Tellapur, Hyderabad",NA,1575 sq.ft,Build Up Area1575 sq.ftAvg. Price₹3.49 K/sq.ft
533,NA,₹3.49 L,EMI starts at ₹1.85 K,NA,"Jagdevpur, Hyderabad",NA,1089 sq.ft,Plot Area1089 sq.ftAvg. Price₹320/sq.ft
534,NA,₹32.0 L,EMI starts at ₹16.95 K,NA,"Bhuvanteza Aura I,Kollur, Hyderabad",NA,1155 sq.ft,Build Up Area1155 sq.ftAvg. Price₹2.77 K/sq.ft
535,NA,₹1.4 Cr,EMI starts at ₹69.50 K,NA,GCR Residency Saroornagar,NA,2500 sq.ft,Build Up Area2500 sq.ftAvg. Price₹5.60 K/sq.ft
536,NA,₹31.92 L,EMI starts at ₹16.90 K,NA,"Kollur Hyderabad ,Kollur, Hyderabad",NA,1140 sq.ft,Build Up Area1140 sq.ftAvg. Price₹2.80 K/sq.ft
537,NA,₹38.11 L,EMI starts at ₹20.18 K,NA,"Standalone apartments,Vasanth Nagar Colony, Nizampet,Hyderabad",NA,953 sq.ft,Build Up Area953 sq.ftAvg. Price₹4.00 K/sq.ft
538,NA,₹36.0 L,EMI starts at ₹19.06 K,NA,"Pranavi Pride,Bacharam, Hyderabad",NA,180 sq.yd,Plot Area180 sq.ydAvg. Price₹20.00 K/sq.yd
539,NA,₹32.89 L,EMI starts at ₹17.42 K,NA,Bhuvanteza Aura,NA,1147 sq.ft,Build Up Area1147 sq.ftAvg. Price₹2.87 K/sq.ft
540,NA,₹85.0 L,EMI starts at ₹42.20 K,NA,"Gated community,Kokapet, Hyderabad",NA,1250 sq.ft,Build Up Area1250 sq.ftAvg. Price₹6.80 K/sq.ft
541,NA,₹45.0 L,EMI starts at ₹23.83 K,NA,"Aura velimala,Tellapur, Hyderabad",NA,1575 sq.ft,Build Up Area1575 sq.ftAvg. Price₹2.86 K/sq.ft
